IM,DCR,P,Upper,Lower
0.01,0.007944428337113762,1.846519175464285e-65,3.0102076880579367e-58,4.181033237262281e-73
0.02,0.015600818952855878,5.198444532759236e-49,7.927726907517812e-43,1.2597153588939633e-55
0.03,0.023152131596365637,1.5980112997344517e-40,6.10475746053213e-35,1.547344637204962e-46
0.04,0.03063600572274908,5.22765358354685e-35,7.486754790901752e-30,1.3514550223685993e-40
0.05,0.03807012962964367,5.082548542908734e-31,3.403163160378146e-26,2.812732453097971e-36
0.060000000000000005,0.04546484631502344,5.9780465553251675e-28,2.1519647383119027e-23,6.1586692889356335e-33
0.06999999999999999,0.05282695199119462,1.741709274434444e-25,3.7117887779855314e-21,3.033334887853816e-30
0.08,0.060161254962355755,1.8981732001770497e-23,2.5698653649774506e-19,5.207855986664376e-28
0.09,0.06747133647758101,1.0009484404372913e-21,9.085548297253375e-18,4.099340019209196e-26
0.09999999999999999,0.07475996694302112,3.029259964822475e-20,1.9235256858667033e-16,1.7748470343507907e-24
0.11,0.08202935295776505,5.923944155397226e-19,2.7235032260817997e-15,4.797614172444701e-23
0.12,0.08928129325133852,8.153632327238662e-18,2.7922587609226044e-14,8.872082795670395e-22
0.13,0.09651728198556182,8.416226472594381e-17,2.1987021407706227e-13,1.2014289645731045e-20
0.14,0.10373857990457384,6.837352734315886e-16,1.3906026806137199e-12,1.2547489446419996e-19
0.15000000000000002,0.11094626493873395,4.539081918106965e-15,7.313983560504776e-12,1.0522631731312676e-18
0.16,0.11814126917850683,2.536641769204651e-14,3.288061510030084e-11,7.31616707343683e-18
0.17,0.12532440651672683,1.2221623449238074e-13,1.2915949097396097e-10,4.327177286313183e-17
0.18000000000000002,0.13249639372747848,5.17632836807214e-13,4.5132905018245876e-10,2.223293847582042e-16
0.19,0.1396578668196494,1.958386742541292e-12,1.423786705291405e-09,1.0096654497629951e-15
0.2,0.1468093939183659,6.707446237632322e-12,4.104960151453391e-09,4.1116482291358005e-15
0.21000000000000002,0.153951485548848,2.1031689875543598e-11,1.0928480208765388e-08,1.5198136506204327e-14
0.22,0.16108460294563293,6.095158053388402e-11,2.7101134838627388e-08,5.152073787592789e-14
